date,count
2025-08,1
2025-10,179
2025-11,59
2025-12,1
2025-13,2
2025-14,1
2025-15,1
2025-16,1
2025-17,134
2025-18,79
2025-19,17
2025-20,15
2025-21,18
2025-22,17
2025-23,17
2025-24,15
2025-25,15
2025-26,18
2025-27,15
2025-28,15
2025-29,15
2025-30,20
2025-31,17
2025-32,15
2025-33,15
2025-34,15
2025-35,20
2025-36,16
2025-37,24
2025-38,16
2025-39,20
2025-40,17
2025-41,15
2025-42,16
2025-43,20
2025-44,17
2025-45,15
2025-46,16
2025-47,38
2025-48,5
2025-49,3
2025-50,3
2025-51,3
2026-00,4
2026-01,3
2026-02,3
2026-03,2
